Title | Microsoft.Extensions.AI
TypeName | Microsoft.Extensions.AI
TypeName | Microsoft.Extensions
TypeName | AI
API | GetResponseAsync
API | ChatClientBuilder
API | Build
API | Use
API | UseDistributedCache
API | Microsoft.Extensions
API | Microsoft.Extensions.AI
API | UseOpenTelemetry
API | UseFunctionInvocation
API | Description
API | AIFunctionFactory.Create
API | ChatMessage
Keyword | ai
Keyword | microsoft.extensions.ai
Keyword | services
Keyword | middleware
Keyword | dependency injection
Keyword | middleware composition
Keyword | function calling
Keyword | caching
Keyword | interfaces
Keyword | service
Keyword | microsoft
Keyword | familiar
